"Woonplaatsen";"Woonplaatscode (Code)";"Gemeentenaam";"Gemeente/Code  (Code)"
"Sibrandahûs";"WP3274    ";"Dantumadiel                        ";"GM1891    "
"Siddeburen";"WP1357    ";"Midden-Groningen                   ";"GM1952    "
"Siebengewald";"WP1123    ";"Bergen (L.)                        ";"GM0893    "
"Siegerswoude";"WP3354    ";"Opsterland                         ";"GM0086    "
"Sijbekarspel";"WP3156    ";"Medemblik                          ";"GM0420    "
"Silvolde";"WP1578    ";"Oude IJsselstreek                  ";"GM1509    "
"Simonshaven";"WP1389    ";"Nissewaard                         ";"GM1930    "
"Simpelveld";"WP3065    ";"Simpelveld                         ";"GM0965    "
"Sinderen";"WP1579    ";"Oude IJsselstreek                  ";"GM1509    "
"Sint Agatha";"WP1454    ";"Cuijk                              ";"GM1684    "
"Sint Annen";"WP1834    ";"Ten Boer                           ";"GM0009    "
"Sint Anthonis";"WP2083    ";"Sint Anthonis                      ";"GM1702    "
"Sint Geertruid";"WP1698    ";"Eijsden-Margraten                  ";"GM1903    "
"Sint Hubert";"WP1977    ";"Mill en Sint Hubert                ";"GM0815    "
"Sint Jansklooster";"WP2712    ";"Steenwijkerland                    ";"GM1708    "
"Sint Jansteen";"WP3089    ";"Hulst                              ";"GM0677    "
"Sint Joost";"WP2044    ";"Echt-Susteren                      ";"GM1711    "
"Sint Kruis";"WP2973    ";"Sluis                              ";"GM1714    "
"Sint Maarten";"WP3291    ";"Schagen                            ";"GM0441    "
"Sint Maartensbrug";"WP2759    ";"Schagen                            ";"GM0441    "
"Sint Maartensvlotbrug";"WP2760    ";"Schagen                            ";"GM0441    "
"Sint Nicolaasga";"WP2507    ";"De Fryske Marren                   ";"GM1940    "
"Sint Odiliënberg";"WP2594    ";"Roerdalen                          ";"GM1669    "
"Sint Pancras";"WP1115    ";"Langedijk                          ";"GM0416    "
"Sint Philipsland";"WP2078    ";"Tholen                             ";"GM0716    "
"St. Willebrord";"WP2584    ";"Rucphen                            ";"GM0840    "
"Sint-Annaland";"WP2076    ";"Tholen                             ";"GM0716    "
"St.-Annaparochie";"WP3331    ";"Waadhoeke                          ";"GM1949    "
"St.-Jacobiparochie";"WP3332    ";"Waadhoeke                          ";"GM1949    "
"Sintjohannesga";"WP2508    ";"De Fryske Marren                   ";"GM1940    "
"Sint-Maartensdijk";"WP2074    ";"Tholen                             ";"GM0716    "
"Sint-Michielsgestel";"WP2060    ";"Sint-Michielsgestel                ";"GM0845    "
"Sint-Oedenrode";"WP2787    ";"Meierijstad                        ";"GM1948    "
"Sirjansland";"WP2688    ";"Schouwen-Duiveland                 ";"GM1676    "
"Sittard";"WP3512    ";"Sittard-Geleen                     ";"GM1883    "
"Skingen";"WP2732    ";"Waadhoeke                          ";"GM1949    "
"Slagharen";"WP1564    ";"Hardenberg                         ";"GM0160    "
"Slappeterp";"WP2733    ";"Waadhoeke                          ";"GM1949    "
"Sleen";"WP2162    ";"Coevorden                          ";"GM0109    "
"Sleeuwijk";"WP2217    ";"Werkendam                          ";"GM0870    "
"Slenaken";"WP1229    ";"Gulpen-Wittem                      ";"GM1729    "
"Sliedrecht";"WP2438    ";"Sliedrecht                         ";"GM0610    "
"Slijkenburg";"WP1738    ";"Weststellingwerf                   ";"GM0098    "
"Slijk-Ewijk";"WP1871    ";"Overbetuwe                         ";"GM1734    "
"Slochteren";"WP1358    ";"Midden-Groningen                   ";"GM1952    "
"Slootdorp";"WP2435    ";"Hollands Kroon                     ";"GM1911    "
"Sloten";"WP1684    ";"De Fryske Marren                   ";"GM1940    "
"Sluis";"WP2962    ";"Sluis                              ";"GM1714    "
"Sluiskil";"WP1135    ";"Terneuzen                          ";"GM0715    "
"Smakt";"WP2334    ";"Venray                             ";"GM0984    "
"Smalle Ee";"WP3288    ";"Smallingerland                     ";"GM0090    "
"Smallebrugge";"WP2420    ";"Súdwest-Fryslân                    ";"GM1900    "
"Smilde";"WP3021    ";"Midden-Drenthe                     ";"GM1731    "
"Snakkerburen";"WP1200    ";"Leeuwarden                         ";"GM0080    "
"Sneek";"WP3504    ";"Súdwest-Fryslân                    ";"GM1900    "
"Snelrewaard";"WP1912    ";"Oudewater                          ";"GM0589    "
"Snikzwaag";"WP2509    ";"De Fryske Marren                   ";"GM1940    "
"Soerendonk";"WP1569    ";"Cranendonck                        ";"GM1706    "
"Soest";"WP1013    ";"Soest                              ";"GM0342    "
"Soesterberg";"WP1014    ";"Soest                              ";"GM0342    "
"Someren";"WP2745    ";"Someren                            ";"GM0847    "
"Sommelsdijk";"WP3145    ";"Goeree-Overflakkee                 ";"GM1924    "
"Son en Breugel";"WP3520    ";"Son en Breugel                     ";"GM0848    "
"Sondel";"WP1685    ";"De Fryske Marren                   ";"GM1940    "
"Sonnega";"WP1739    ";"Weststellingwerf                   ";"GM0098    "
"Spaarndam";"WP3534    ";"Haarlemmerliede en Spaarnwoude     ";"GM0393    "
"Spaarndam gem. Haarlem";"WP2908    ";"Haarlem                            ";"GM0392    "
"Spanbroek";"WP2792    ";"Opmeer                             ";"GM0432    "
"Spanga";"WP1740    ";"Weststellingwerf                   ";"GM0098    "
"Spankeren";"WP1505    ";"Rheden                             ";"GM0275    "
"Spannum";"WP2030    ";"Waadhoeke                          ";"GM1949    "
"Spaubeek";"WP1671    ";"Beek                               ";"GM0888    "
"Spier";"WP3022    ";"Midden-Drenthe                     ";"GM1731    "
"Spier";"WP3120    ";"Westerveld                         ";"GM1701    "
"Spierdijk";"WP1190    ";"Koggenland                         ";"GM1598    "
"Spijk";"WP2980    ";"Zevenaar                           ";"GM0299    "
"Spijk";"WP3241    ";"Delfzijl                           ";"GM0010    "
"Spijk";"WP2356    ";"Lingewaal                          ";"GM0733    "
"Spijkenisse";"WP3032    ";"Nissewaard                         ";"GM1930    "
"Spijkerboor";"WP1180    ";"Aa en Hunze                        ";"GM1680    "
"Spijkerboor";"WP2286    ";"Wormerland                         ";"GM0880    "
"Sprang-Capelle";"WP2596    ";"Waalwijk                           ";"GM0867    "
"Sprundel";"WP2583    ";"Rucphen                            ";"GM0840    "
"Spui";"WP1136    ";"Terneuzen                          ";"GM0715    "
"Stad aan 't Haringvliet";"WP3146    ";"Goeree-Overflakkee                 ";"GM1924    "
"Stadskanaal";"WP3074    ";"Stadskanaal                        ";"GM0037    "
"Stampersgat";"WP1247    ";"Halderberge                        ";"GM1655    "
"Standdaarbuiten";"WP1324    ";"Moerdijk                           ";"GM1709    "
"Staphorst";"WP1046    ";"Staphorst                          ";"GM0180    "
"Starnmeer";"WP3555    ";"Alkmaar                            ";"GM0361    "
"Startenhuizen";"WP3452    ";"Loppersum                          ";"GM0024    "
"Startenhuizen";"WP3481    ";"Eemsmond                           ";"GM1651    "
"Stavenisse";"WP2075    ";"Tholen                             ";"GM0716    "
"Stavoren";"WP1969    ";"Súdwest-Fryslân                    ";"GM1900    "
"Stedum";"WP3453    ";"Loppersum                          ";"GM0024    "
"De Steeg";"WP1502    ";"Rheden                             ";"GM0275    "
"Steenbergen";"WP1405    ";"Steenbergen                        ";"GM0851    "
"Steenbergen";"WP3634    ";"Noordenveld                        ";"GM1699    "
"Steendam";"WP1359    ";"Midden-Groningen                   ";"GM1952    "
"Steenderen";"WP1526    ";"Bronckhorst                        ";"GM1876    "
"Steenenkamer";"WP2608    ";"Voorst                             ";"GM0285    "
"Steensel";"WP2995    ";"Eersel                             ";"GM0770    "
"Steenwijk";"WP2713    ";"Steenwijkerland                    ";"GM1708    "
"Steenwijkerwold";"WP2714    ";"Steenwijkerland                    ";"GM1708    "
"Stegeren";"WP2553    ";"Ommen                              ";"GM0175    "
"Steggerda";"WP1741    ";"Weststellingwerf                   ";"GM0098    "
"Stein";"WP1913    ";"Stein                              ";"GM0971    "
"Stellendam";"WP2933    ";"Goeree-Overflakkee                 ";"GM1924    "
"Sterksel";"WP1316    ";"Heeze-Leende                       ";"GM1658    "
"Stevensbeek";"WP2084    ";"Sint Anthonis                      ";"GM1702    "
"Stevensweert";"WP1922    ";"Maasgouw                           ";"GM1641    "
"Steyl";"WP1475    ";"Venlo                              ";"GM0983    "
"Stieltjeskanaal";"WP2163    ";"Coevorden                          ";"GM0109    "
"Stiens";"WP3230    ";"Leeuwarden                         ";"GM0080    "
"Stitswerd";"WP3482    ";"Eemsmond                           ";"GM1651    "
"Stokkum";"WP2210    ";"Montferland                        ";"GM1955    "
"Stolwijk";"WP2388    ";"Krimpenerwaard                     ";"GM1931    "
"Stompetoren";"WP1890    ";"Alkmaar                            ";"GM0361    "
"Stoutenburg";"WP2639    ";"Leusden                            ";"GM0327    "
"Stoutenburg Noord";"WP1667    ";"Amersfoort                         ";"GM0307    "
"Stramproy";"WP1975    ";"Weert                              ";"GM0988    "
"Streefkerk";"WP1805    ";"Molenwaard                         ";"GM1927    "
"Striep";"WP2620    ";"Terschelling                       ";"GM0093    "
"Strijbeek";"WP3435    ";"Alphen-Chaam                       ";"GM1723    "
"Strijen";"WP2797    ";"Strijen                            ";"GM0617    "
"Strijensas";"WP2798    ";"Strijen                            ";"GM0617    "
"Stroe";"WP1059    ";"Barneveld                          ";"GM0203    "
"Stroobos";"WP3180    ";"Achtkarspelen                      ";"GM0059    "
"Stuifzand";"WP3023    ";"Midden-Drenthe                     ";"GM1731    "
"Stuifzand";"WP1819    ";"Hoogeveen                          ";"GM0118    "
"Sumar";"WP2453    ";"Tytsjerksteradiel                  ";"GM0737    "
"Surhuisterveen";"WP3181    ";"Achtkarspelen                      ";"GM0059    "
"Surhuizum";"WP3182    ";"Achtkarspelen                      ";"GM0059    "
"Susteren";"WP2045    ";"Echt-Susteren                      ";"GM1711    "
"Suwâld";"WP2448    ";"Tytsjerksteradiel                  ";"GM0737    "
"Swalmen";"WP2283    ";"Roermond                           ";"GM0957    "
"Sweikhuizen";"WP2104    ";"Schinnen                           ";"GM0962    "
"Swichum";"WP1204    ";"Leeuwarden                         ";"GM0080    "
"Swifterbant";"WP2431    ";"Dronten                            ";"GM0303    "
"Swolgen";"WP1859    ";"Horst aan de Maas                  ";"GM1507    "
"Taarlo";"WP2918    ";"Tynaarlo                           ";"GM1730    "
"Teeffelen";"WP3472    ";"Oss                                ";"GM0828    "
"Teerns";"WP1203    ";"Leeuwarden                         ";"GM0080    "
"Tegelen";"WP1474    ";"Venlo                              ";"GM0983    "
"Terband";"WP2182    ";"Heerenveen                         ";"GM0074    "
"Terborg";"WP1577    ";"Oude IJsselstreek                  ";"GM1509    "
"Terheijden";"WP2578    ";"Drimmelen                          ";"GM1719    "
"Terherne";"WP2537    ";"De Fryske Marren                   ";"GM1940    "
"Terhole";"WP3096    ";"Hulst                              ";"GM0677    "
"Terkaple";"WP2510    ";"De Fryske Marren                   ";"GM1940    "
"Termunten";"WP3242    ";"Delfzijl                           ";"GM0010    "
"Termunterzijl";"WP3243    ";"Delfzijl                           ";"GM0010    "
"Ternaard";"WP3411    ";"Dongeradeel                        ";"GM0058    "
"Terneuzen";"WP1137    ";"Terneuzen                          ";"GM0715    "
"Teroele";"WP2511    ";"De Fryske Marren                   ";"GM1940    "
"Terschuur";"WP3598    ";"Barneveld                          ";"GM0203    "
"Tersoal";"WP2538    ";"Súdwest-Fryslân                    ";"GM1900    "
"Terwispel";"WP3355    ";"Opsterland                         ";"GM0086    "
"Terwolde";"WP2609    ";"Voorst                             ";"GM0285    "
"Teteringen";"WP3623    ";"Breda                              ";"GM0758    "
"Teuge";"WP2610    ";"Voorst                             ";"GM0285    "
"Thesinge";"WP1832    ";"Ten Boer                           ";"GM0009    "
"Tholen";"WP2071    ";"Tholen                             ";"GM0716    "
"Thorn";"WP1916    ";"Maasgouw                           ";"GM1641    "
"Tiel";"WP3601    ";"Tiel                               ";"GM0281    "
"Tiendeveen";"WP1820    ";"Hoogeveen                          ";"GM0118    "
"Tiendeveen";"WP3024    ";"Midden-Drenthe                     ";"GM1731    "
"Tienhoven";"WP2065    ";"Stichtse Vecht                     ";"GM1904    "
"Tienhoven";"WP2107    ";"Zederik                            ";"GM0707    "
"Tienray";"WP1860    ";"Horst aan de Maas                  ";"GM1507    "
"Tijnje";"WP3356    ";"Opsterland                         ";"GM0086    "
"De Tike";"WP3276    ";"Smallingerland                     ";"GM0090    "
"Tilburg";"WP1043    ";"Tilburg                            ";"GM0855    "
"Tilligte";"WP1416    ";"Dinkelland                         ";"GM1774    "
"Tinallinge";"WP2473    ";"Winsum                             ";"GM0053    "
"Tinte";"WP1211    ";"Westvoorne                         ";"GM0614    "
"Tirns";"WP3591    ";"Súdwest-Fryslân                    ";"GM1900    "
"Tjalhuizum";"WP2422    ";"Súdwest-Fryslân                    ";"GM1900    "
"Tjalleberd";"WP2184    ";"Heerenveen                         ";"GM0074    "
"Tjerkgaast";"WP2512    ";"De Fryske Marren                   ";"GM1940    "
"Tjerkwerd";"WP2324    ";"Súdwest-Fryslân                    ";"GM1900    "
"Tjuchem";"WP1360    ";"Midden-Groningen                   ";"GM1952    "
"Tolbert";"WP2345    ";"Leek                               ";"GM0022    "
"Toldijk";"WP1531    ";"Bronckhorst                        ";"GM1876    "
"Tolkamer";"WP2981    ";"Zevenaar                           ";"GM0299    "
"Tollebeek";"WP1279    ";"Noordoostpolder                    ";"GM0171    "
"Tonden";"WP1110    ";"Brummen                            ";"GM0213    "
"Toornwerd";"WP3454    ";"Loppersum                          ";"GM0024    "
"Tricht";"WP3531    ";"Geldermalsen                       ";"GM0236    "
"Triemen";"WP3314    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Tripscompagnie";"WP2276    ";"Midden-Groningen                   ";"GM1952    "
"Tubbergen";"WP1294    ";"Tubbergen                          ";"GM0183    "
"Tuil";"WP3366    ";"Neerijnen                          ";"GM0304    "
"Tuitjenhorn";"WP3292    ";"Schagen                            ";"GM0441    "
"Tuk";"WP2715    ";"Steenwijkerland                    ";"GM1708    "
"Tull en 't Waal";"WP2055    ";"Houten                             ";"GM0321    "
"Twello";"WP2611    ";"Voorst                             ";"GM0285    "
"Twijzel";"WP3183    ";"Achtkarspelen                      ";"GM0059    "
"Twijzelerheide";"WP3184    ";"Achtkarspelen                      ";"GM0059    "
"Twisk";"WP3157    ";"Medemblik                          ";"GM0420    "
"Tynaarlo";"WP2919    ";"Tynaarlo                           ";"GM1730    "
"Tytsjerk";"WP2447    ";"Tytsjerksteradiel                  ";"GM0737    "
"Tzum";"WP1362    ";"Waadhoeke                          ";"GM1949    "
"Tzummarum";"WP1377    ";"Waadhoeke                          ";"GM1949    "
"Ubbena";"WP2395    ";"Assen                              ";"GM0106    "
"Ubbergen";"WP2879    ";"Berg en Dal                        ";"GM1945    "
"Uddel";"WP3562    ";"Apeldoorn                          ";"GM0200    "
"Uden";"WP1847    ";"Uden                               ";"GM0856    "
"Udenhout";"WP1045    ";"Tilburg                            ";"GM0855    "
"Uffelte";"WP3121    ";"Westerveld                         ";"GM1701    "
"Ugchelen";"WP2256    ";"Apeldoorn                          ";"GM0200    "
"Uitdam";"WP1947    ";"Waterland                          ";"GM0852    "
"Uitgeest";"WP2755    ";"Uitgeest                           ";"GM0450    "
"Uithoorn";"WP2062    ";"Uithoorn                           ";"GM0451    "
"Uithuizen";"WP3483    ";"Eemsmond                           ";"GM1651    "
"Uithuizermeeden";"WP3484    ";"Eemsmond                           ";"GM1651    "
"Uitwellingerga";"WP2423    ";"Súdwest-Fryslân                    ";"GM1900    "
"Uitwijk";"WP3304    ";"Woudrichem                         ";"GM0874    "
"Ulestraten";"WP1465    ";"Meerssen                           ";"GM0938    "
"Ulft";"WP1580    ";"Oude IJsselstreek                  ";"GM1509    "
"Ulicoten";"WP2884    ";"Baarle-Nassau                      ";"GM0744    "
"Ulrum";"WP3425    ";"De Marne                           ";"GM1663    "
"Ulvenhout";"WP1704    ";"Breda                              ";"GM0758    "
"Ulvenhout AC";"WP3436    ";"Alphen-Chaam                       ";"GM1723    "
"Ureterp";"WP3357    ";"Opsterland                         ";"GM0086    "
"Urk";"WP2143    ";"Urk                                ";"GM0184    "
"Urmond";"WP1915    ";"Stein                              ";"GM0971    "
"Ursem";"WP1191    ";"Koggenland                         ";"GM1598    "
"Ursem";"WP1891    ";"Alkmaar                            ";"GM0361    "
"Usquert";"WP3485    ";"Eemsmond                           ";"GM1651    "
"Utrecht";"WP3295    ";"Utrecht                            ";"GM0344    "
"Vaals";"WP1429    ";"Vaals                              ";"GM0981    "
"Vaassen";"WP1345    ";"Epe                                ";"GM0232    "
"Valburg";"WP1872    ";"Overbetuwe                         ";"GM1734    "
"Valkenburg";"WP1718    ";"Valkenburg aan de Geul             ";"GM0994    "
"Valkenburg";"WP1709    ";"Katwijk                            ";"GM0537    "
"Valkenswaard";"WP1100    ";"Valkenswaard                       ";"GM0858    "
"Valthe";"WP1800    ";"Borger-Odoorn                      ";"GM1681    "
"Valthermond";"WP1801    ";"Borger-Odoorn                      ";"GM1681    "
"2e Valthermond";"WP1781    ";"Borger-Odoorn                      ";"GM1681    "
"Varik";"WP3367    ";"Neerijnen                          ";"GM0304    "
"Varsselder";"WP1582    ";"Oude IJsselstreek                  ";"GM1509    "
"Varsseveld";"WP1574    ";"Oude IJsselstreek                  ";"GM1509    "
"Vasse";"WP1295    ";"Tubbergen                          ";"GM0183    "
"Veelerveen";"WP2234    ";"Westerwolde                        ";"GM1950    "
"Veen";"WP1956    ";"Aalburg                            ";"GM0738    "
"Veendam";"WP1240    ";"Veendam                            ";"GM0047    "
"Veenendaal";"WP2048    ";"Veenendaal                         ";"GM0345    "
"De Veenhoop";"WP3277    ";"Smallingerland                     ";"GM0090    "
"Veenhuizen";"WP1651    ";"Noordenveld                        ";"GM1699    "
"Veeningen";"WP3171    ";"De Wolden                          ";"GM1690    "
"Veenklooster";"WP3315    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Veenoord";"WP1999    ";"Emmen                              ";"GM0114    "
"Veere";"WP2783    ";"Veere                              ";"GM0717    "
"Veessen";"WP2866    ";"Heerde                             ";"GM0246    "
"Vegelinsoord";"WP2513    ";"De Fryske Marren                   ";"GM1940    "
"Veghel";"WP2827    ";"Meierijstad                        ";"GM1948    "
"'t Veld";"WP2520    ";"Hollands Kroon                     ";"GM1911    "
"Velddriel";"WP1631    ";"Maasdriel                          ";"GM0263    "
"Den Velde";"WP1547    ";"Hardenberg                         ";"GM0160    "
"Velden";"WP3142    ";"Venlo                              ";"GM0983    "
"Veldhoven";"WP1384    ";"Veldhoven                          ";"GM0861    "
"Velp";"WP1500    ";"Rheden                             ";"GM0275    "
"Velp";"WP3198    ";"Grave                              ";"GM0786    "
"Velsen-Noord";"WP3538    ";"Velsen                             ";"GM0453    "
"Velsen-Zuid";"WP3536    ";"Velsen                             ";"GM0453    "
"Velserbroek";"WP2839    ";"Velsen                             ";"GM0453    "
"Venebrugge";"WP1565    ";"Hardenberg                         ";"GM0160    "
"Venhorst";"WP3139    ";"Boekel                             ";"GM0755    "
"Venhuizen";"WP1512    ";"Drechterland                       ";"GM0498    "
"Venlo";"WP1473    ";"Venlo                              ";"GM0983    "
"Venray";"WP2335    ";"Venray                             ";"GM0984    "
"Ven-Zelderheide";"WP2481    ";"Gennep                             ";"GM0907    "
"Vessem";"WP2996    ";"Eersel                             ";"GM0770    "
"Vethuizen";"WP2211    ";"Montferland                        ";"GM1955    "
"Veulen";"WP2336    ";"Venray                             ";"GM0984    "
"Vianen";"WP2843    ";"Vianen                             ";"GM0620    "
"Vianen NB";"WP1455    ";"Cuijk                              ";"GM1684    "
"Vierakker";"WP1532    ";"Bronckhorst                        ";"GM1876    "
"Vierhouten";"WP2985    ";"Nunspeet                           ";"GM0302    "
"Vierhuizen";"WP3426    ";"De Marne                           ";"GM1663    "
"Vierlingsbeek";"WP1223    ";"Boxmeer                            ";"GM0756    "
"Vierpolders";"WP2369    ";"Brielle                            ";"GM0501    "
"Vijfhuizen";"WP1613    ";"Haarlemmermeer                     ";"GM0394    "
"Vijlen";"WP1431    ";"Vaals                              ";"GM0981    "
"Vilsteren";"WP2554    ";"Ommen                              ";"GM0175    "
"Vinkega";"WP1743    ";"Weststellingwerf                   ";"GM0098    "
"Vinkel";"WP3612    ";"'s-Hertogenbosch                   ";"GM0796    "
"Vinkel";"WP3063    ";"Bernheze                           ";"GM1721    "
"Vinkenbuurt";"WP2555    ";"Ommen                              ";"GM0175    "
"Vinkeveen";"WP3550    ";"De Ronde Venen                     ";"GM0736    "
"Visvliet";"WP2127    ";"Zuidhorn                           ";"GM0056    "
"Vlaardingen";"WP1015    ";"Vlaardingen                        ";"GM0622    "
"Vlagtwedde";"WP2298    ";"Westerwolde                        ";"GM1950    "
"Vledder";"WP3122    ";"Westerveld                         ";"GM1701    "
"Vledderveen";"WP3078    ";"Stadskanaal                        ";"GM0037    "
"Vledderveen";"WP3123    ";"Westerveld                         ";"GM1701    "
"Vleuten";"WP3296    ";"Utrecht                            ";"GM0344    "
"Vlieland";"WP3299    ";"Vlieland                           ";"GM0096    "
"Vlierden";"WP1775    ";"Deurne                             ";"GM0762    "
"Vlijmen";"WP3503    ";"Heusden                            ";"GM0797    "
"Vlissingen";"WP1078    ";"Vlissingen                         ";"GM0718    "
"Vlist";"WP2389    ";"Krimpenerwaard                     ";"GM1931    "
"Vlodrop";"WP2595    ";"Roerdalen                          ";"GM1669    "
"Voerendaal";"WP1855    ";"Voerendaal                         ";"GM0986    "
"Vogelenzang";"WP2651    ";"Bloemendaal                        ";"GM0377    "
"Vogelwaarde";"WP3095    ";"Hulst                              ";"GM0677    "
"Volendam";"WP1748    ";"Edam-Volendam                      ";"GM0385    "
"Volkel";"WP1848    ";"Uden                               ";"GM0856    "
"Vollenhove";"WP2716    ";"Steenwijkerland                    ";"GM1708    "
"Vondelingenplaat Rotterdam";"WP3087    ";"Rotterdam                          ";"GM0599    "
"Voorburg";"WP1622    ";"Leidschendam-Voorburg              ";"GM1916    "
"Voorhout";"WP2004    ";"Teylingen                          ";"GM1525    "
"Voorschoten";"WP3231    ";"Voorschoten                        ";"GM0626    "
"Voorst";"WP1586    ";"Oude IJsselstreek                  ";"GM1509    "
"Voorst";"WP2612    ";"Voorst                             ";"GM0285    "
"Voorthuizen";"WP3599    ";"Barneveld                          ";"GM0203    "
"Vorchten";"WP2867    ";"Heerde                             ";"GM0246    "
"Vorden";"WP3573    ";"Bronckhorst                        ";"GM1876    "
"Vorstenbosch";"WP3064    ";"Bernheze                           ";"GM1721    "
"Vortum-Mullem";"WP1224    ";"Boxmeer                            ";"GM0756    "
"Vragender";"WP2226    ";"Oost Gelre                         ";"GM1586    "
"Vredenheim";"WP1181    ";"Aa en Hunze                        ";"GM1680    "
"Vredepeel";"WP2337    ";"Venray                             ";"GM0984    "
"Vreeland";"WP3525    ";"Stichtse Vecht                     ";"GM1904    "
"Vries";"WP2912    ";"Tynaarlo                           ";"GM1730    "
"Vriescheloo";"WP2235    ";"Westerwolde                        ";"GM1950    "
"Vriezenveen";"WP3325    ";"Twenterand                         ";"GM1700    "
"Vroomshoop";"WP3326    ";"Twenterand                         ";"GM1700    "
"Vrouwenakker";"WP2672    ";"Nieuwkoop                          ";"GM0569    "
"Vrouwenparochie";"WP3334    ";"Waadhoeke                          ";"GM1949    "
"Vrouwenpolder";"WP2784    ";"Veere                              ";"GM0717    "
"Vught";"WP1619    ";"Vught                              ";"GM0865    "
"Vuren";"WP2357    ";"Lingewaal                          ";"GM0733    "
"Waaksens";"WP2031    ";"Súdwest-Fryslân                    ";"GM1900    "
"Waal";"WP1809    ";"Molenwaard                         ";"GM1927    "
"De Waal";"WP2739    ";"Texel                              ";"GM0448    "
"Waalre";"WP1006    ";"Waalre                             ";"GM0866    "
"Waalwijk";"WP2597    ";"Waalwijk                           ";"GM0867    "
"'t Waar";"WP1895    ";"Oldambt                            ";"GM1895    "
"Waarde";"WP3466    ";"Reimerswaal                        ";"GM0703    "
"Waardenburg";"WP3368    ";"Neerijnen                          ";"GM0304    "
"Waarder";"WP2478    ";"Bodegraven-Reeuwijk                ";"GM1901    "
"Waardhuizen";"WP3305    ";"Woudrichem                         ";"GM0874    "
"Waarland";"WP3293    ";"Schagen                            ";"GM0441    "
"Waaxens";"WP3412    ";"Dongeradeel                        ";"GM0058    "
"Wachtum";"WP2165    ";"Coevorden                          ";"GM0109    "
"Waddinxveen";"WP3051    ";"Waddinxveen                        ";"GM0627    "
"Wadenoijen";"WP2559    ";"Tiel                               ";"GM0281    "
"Wagenberg";"WP2579    ";"Drimmelen                          ";"GM1719    "
"Wagenborgen";"WP3244    ";"Delfzijl                           ";"GM0010    "
"Wageningen";"WP2006    ";"Wageningen                         ";"GM0289    "
"Walem";"WP1719    ";"Valkenburg aan de Geul             ";"GM0994    "
"Walsoorden";"WP3101    ";"Hulst                              ";"GM0677    "
"Wâlterswâld";"WP3269    ";"Dantumadiel                        ";"GM1891    "
"Wamel";"WP1773    ";"West Maas en Waal                  ";"GM0668    "
"Wanneperveen";"WP2717    ";"Steenwijkerland                    ";"GM1708    "
"Wanroij";"WP2085    ";"Sint Anthonis                      ";"GM1702    "
"Wanssum";"WP1861    ";"Venray                             ";"GM0984    "
"Wânswert";"WP3210    ";"Ferwerderadiel                     ";"GM1722    "
"Wapenveld";"WP2868    ";"Heerde                             ";"GM0246    "
"Wapse";"WP3124    ";"Westerveld                         ";"GM1701    "
"Wapserveen";"WP3125    ";"Westerveld                         ";"GM1701    "
"Warder";"WP1843    ";"Edam-Volendam                      ";"GM0385    "
"Warffum";"WP3486    ";"Eemsmond                           ";"GM1651    "
"Warfhuizen";"WP3427    ";"De Marne                           ";"GM1663    "
"Warfstermolen";"WP3316    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Warmenhuizen";"WP3294    ";"Schagen                            ";"GM0441    "
"Warmond";"WP3542    ";"Teylingen                          ";"GM1525    "
"Warns";"WP1971    ";"Súdwest-Fryslân                    ";"GM1900    "
"Warnsveld";"WP1396    ";"Zutphen                            ";"GM0301    "
"Warstiens";"WP2540    ";"Leeuwarden                         ";"GM0080    "
"Warten";"WP2541    ";"Leeuwarden                         ";"GM0080    "
"Waskemeer";"WP1765    ";"Ooststellingwerf                   ";"GM0085    "
"Waspik";"WP2598    ";"Waalwijk                           ";"GM0867    "
"Wassenaar";"WP1821    ";"Wassenaar                          ";"GM0629    "
"Wateren";"WP3126    ";"Westerveld                         ";"GM1701    "
"Watergang";"WP1945    ";"Waterland                          ";"GM0852    "
"Waterhuizen";"WP1022    ";"Midden-Groningen                   ";"GM1952    "
"Wateringen";"WP2664    ";"Westland                           ";"GM1783    "
"Waterlandkerkje";"WP2963    ";"Sluis                              ";"GM1714    "
"Waverveen";"WP3551    ";"De Ronde Venen                     ";"GM0736    "
"Wedde";"WP2236    ";"Westerwolde                        ";"GM1950    "
"De Weere";"WP2789    ";"Opmeer                             ";"GM0432    "
"Weerselo";"WP1417    ";"Dinkelland                         ";"GM1774    "
"Weert";"WP1974    ";"Weert                              ";"GM0988    "
"Weesp";"WP3631    ";"Weesp                              ";"GM0457    "
"Wehe-den Hoorn";"WP3428    ";"De Marne                           ";"GM1663    "
"Wehl";"WP3248    ";"Doetinchem                         ";"GM0222    "
"Weidum";"WP2032    ";"Leeuwarden                         ";"GM0080    "
"Weiteveen";"WP2000    ";"Emmen                              ";"GM0114    "
"Wekerom";"WP2771    ";"Ede                                ";"GM0228    "
"Well";"WP1632    ";"Maasdriel                          ";"GM0263    "
"Well L";"WP1124    ";"Bergen (L.)                        ";"GM0893    "
"Wellerlooi";"WP1125    ";"Bergen (L.)                        ";"GM0893    "
"Welsum";"WP1382    ";"Olst-Wijhe                         ";"GM1773    "
"Wemeldinge";"WP1470    ";"Kapelle                            ";"GM0678    "
"Wenum Wiesel";"WP3561    ";"Apeldoorn                          ";"GM0200    "
